Date,Close
2018-11-26,319.78
2018-11-27,319.5
2018-11-28,312.19
2018-11-29,310.95
2018-11-30,307.2
2018-12-01,444.57
2018-12-02,512.0
2018-12-03,545.24
2018-12-04,548.31
2018-12-06,477.99
2018-12-07,466.37
2018-12-09,458.59
2018-12-10,327.18
2018-12-11,332.66
2018-12-12,298.55
2018-12-13,290.0
2018-12-14,284.63
2018-12-17,273.67
2018-12-18,275.5
2018-12-19,268.97
2018-12-20,265.41
2018-12-21,269.45
2018-12-24,268.1
2018-12-27,260.99
2018-12-28,268.3
2018-12-31,261.38
2019-01-02,265.89
2019-01-03,272.04
2019-01-04,234.48
2019-01-05,237.46
2019-01-07,202.49
2019-01-08,204.42
2019-01-10,200.48
2019-01-11,207.97
2019-01-14,266.09
2019-01-15,263.59
2019-01-16,275.98
2019-01-17,282.22
2019-01-18,286.83
2019-01-21,282.61
2019-01-22,285.49
2019-01-23,284.43
2019-01-24,292.02
2019-01-25,292.31
2019-01-28,288.85
2019-01-29,250.52
2019-01-30,258.4
2019-01-31,257.54
2019-02-01,261.86
2019-02-04,238.32
2019-02-05,240.05
2019-02-07,201.63
2019-02-08,202.78
2019-02-09,198.46
2019-02-10,195.0
2019-02-12,207.01
2019-02-13,264.93
2019-02-14,264.07
2019-02-15,268.2
2019-02-18,266.28
2019-02-19,260.99
2019-02-20,267.24
2019-02-21,271.27
2019-02-22,275.4
2019-02-25,266.76
2019-02-26,267.05
2019-02-27,266.76
2019-02-28,271.66
2019-03-01,270.12
2019-03-04,247.74
2019-03-05,239.48
2019-03-06,186.84
2019-03-07,203.36
2019-03-09,202.49
2019-03-10,193.08
2019-03-12,206.82
2019-03-13,237.17
2019-03-14,249.47
2019-03-15,257.44
2019-03-18,257.92
2019-03-19,254.75
2019-03-20,242.46
2019-03-21,239.29
2019-03-22,230.83
2019-03-25,228.14
2019-03-26,224.88
2019-03-27,227.85
2019-03-28,224.97
2019-03-29,228.91
2019-04-01,275.6
2019-04-02,270.41
2019-04-03,267.33
2019-04-04,252.93
2019-04-06,190.87
2019-04-07,205.28
2019-04-09,208.83
2019-04-10,194.04
2019-04-11,209.41
2019-04-12,211.81
2019-04-15,253.89
2019-04-16,253.12
2019-04-17,250.52
2019-04-18,248.8
2019-04-23,251.0
2019-04-24,241.59
2019-04-25,238.71
2019-04-26,244.28
2019-04-29,243.8
2019-04-30,242.84
2019-05-02,275.02
2019-05-03,257.63
2019-05-04,244.47
2019-05-06,199.8
2019-05-07,202.88
2019-05-08,197.11
2019-05-09,213.54
2019-05-11,211.33
2019-05-12,205.28
2019-05-13,230.06
2019-05-14,230.26
2019-05-15,229.49
2019-05-16,225.55
2019-05-17,228.81
2019-05-20,223.72
2019-05-21,203.07
2019-05-22,213.25
2019-05-23,190.1
2019-05-24,202.3
2019-05-28,200.48
2019-05-29,194.52
2019-05-30,197.21
2019-05-31,197.11
2019-06-02,268.97
2019-06-03,255.14
2019-06-06,195.48
2019-06-08,197.31
2019-06-09,215.46
2019-06-11,208.26
2019-06-12,209.89
2019-06-13,187.85
2019-06-14,192.07
2019-06-17,195.19
