,TimeShort,TimeLong,Temp
222,0.215605749486653,-10.0,25.2
223,0.22108145106091714,-10.0,28.0
224,0.22655715263518128,-10.0,24.0
225,0.23203285420944564,-10.0,20.5
226,0.23750855578370977,-10.0,22.1
227,0.2429842573579739,-10.0,20.1
228,0.24845995893223827,-10.0,20.3
229,0.2539356605065024,-10.0,18.6
230,0.25941136208076654,-10.0,21.5
231,0.2648870636550309,-10.0,21.0
232,0.27036276522929503,-10.0,22.2
233,0.27583846680355917,-10.0,26.0
234,0.2813141683778233,-10.0,25.8
235,0.28678986995208766,-10.0,27.7
236,0.2922655715263518,-10.0,26.4
237,0.29774127310061593,-10.0,25.3
238,0.3032169746748803,-10.0,23.5
239,0.3086926762491444,-10.0,26.5
240,0.31416837782340856,-10.0,27.7
241,0.3196440793976729,-10.0,20.7
242,0.32511978097193706,-10.0,20.6
243,0.3305954825462012,-10.0,22.2
244,0.3360711841204653,-10.0,24.2
245,0.3415468856947297,-10.0,23.3
246,0.3470225872689938,-10.0,19.8
247,0.35249828884325796,-10.0,19.2
248,0.3579739904175223,-10.0,18.6
249,0.36344969199178645,-10.0,20.4
250,0.3689253935660506,-10.0,19.9
251,0.37440109514031494,-10.0,21.2
252,0.3798767967145791,-10.0,19.8
253,0.3853524982888432,-10.0,20.5
254,0.39082819986310735,-10.0,20.8
255,0.3963039014373717,-10.0,20.6
256,0.40177960301163584,-10.0,20.5
257,0.4072553045859,-10.0,18.8
258,0.41273100616016434,-10.0,18.4
259,0.4182067077344285,-10.0,15.4
260,0.4236824093086926,-10.0,20.2
261,0.42915811088295697,-10.0,16.2
262,0.4346338124572211,-10.0,14.3
263,0.44010951403148524,-10.0,15.2
264,0.4455852156057496,-10.0,14.9
265,0.45106091718001373,-10.0,14.0
266,0.45653661875427787,-10.0,15.5
267,0.462012320328542,-10.0,16.3
268,0.46748802190280636,-10.0,16.5
269,0.4729637234770705,-10.0,15.9
270,0.47843942505133463,-10.0,20.2
271,0.483915126625599,-10.0,17.8
272,0.4893908281998631,-10.0,18.8
273,0.49486652977412726,-10.0,15.6
274,0.5003422313483916,-10.0,17.3
275,0.5058179329226558,-10.0,17.3
276,0.5112936344969199,-10.0,15.9
277,0.516769336071184,-10.0,17.0
278,0.5222450376454484,-10.0,17.2
279,0.5277207392197125,-10.0,13.2
280,0.5331964407939767,-10.0,14.5
281,0.538672142368241,-10.0,16.1
282,0.5441478439425051,-10.0,17.6
283,0.5496235455167693,-10.0,17.0
284,0.5550992470910336,-10.0,22.3
285,0.5605749486652978,-10.0,22.3
286,0.5660506502395619,-10.0,19.8
287,0.571526351813826,-10.0,19.5
288,0.5770020533880904,-10.0,17.3
289,0.5824777549623545,-10.0,17.2
290,0.5879534565366187,-10.0,15.5
291,0.593429158110883,-10.0,14.7
292,0.5989048596851472,-10.0,15.5
293,0.6043805612594113,-10.0,15.2
294,0.6098562628336757,-10.0,12.7
295,0.6153319644079398,-10.0,15.7
296,0.6208076659822039,-10.0,15.2
297,0.6262833675564681,-10.0,14.8
298,0.6317590691307324,-10.0,11.9
299,0.6372347707049966,-10.0,13.2
300,0.6427104722792607,-10.0,13.1
301,0.6481861738535251,-10.0,9.3
302,0.6536618754277892,-10.0,13.1
303,0.6591375770020533,-10.0,12.4
304,0.6646132785763177,-10.0,12.0
305,0.6700889801505818,-10.0,8.9
306,0.675564681724846,-10.0,8.9
307,0.6810403832991101,-10.0,9.8
308,0.6865160848733745,-10.0,9.7
309,0.6919917864476386,-10.0,9.4
310,0.6974674880219027,-10.0,8.6
311,0.7029431895961671,-10.0,8.9
312,0.7084188911704312,-10.0,11.9
313,0.7138945927446954,-10.0,13.9
314,0.7193702943189597,-10.0,13.0
315,0.7248459958932238,-10.0,14.4
316,0.730321697467488,-10.0,15.2
317,0.7357973990417521,-10.0,15.1
318,0.7412731006160165,-10.0,13.8
319,0.7467488021902806,-10.0,14.8
320,0.7522245037645447,-10.0,15.4
321,0.7577002053388091,-10.0,10.8
322,0.7631759069130732,-10.0,9.2
323,0.7686516084873374,-10.0,6.8
324,0.7741273100616017,-10.0,5.7
325,0.7796030116358659,-10.0,3.3
326,0.78507871321013,-10.0,5.3
327,0.7905544147843941,-10.0,6.2
328,0.7960301163586585,-10.0,7.1
329,0.8015058179329226,-10.0,7.6
330,0.8069815195071868,-10.0,7.7
331,0.8124572210814511,-10.0,7.5
332,0.8179329226557153,-10.0,5.9
333,0.8234086242299794,-10.0,6.7
334,0.8288843258042438,-10.0,6.2
335,0.8343600273785079,-10.0,5.6
336,0.839835728952772,-10.0,7.3
337,0.8453114305270362,-10.0,7.7
338,0.8507871321013005,-10.0,7.0
339,0.8562628336755647,-10.0,6.3
340,0.8617385352498288,-10.0,7.3
341,0.8672142368240932,-10.0,2.4
342,0.8726899383983573,-10.0,5.2
343,0.8781656399726214,-10.0,5.1
344,0.8836413415468858,-10.0,9.1
345,0.8891170431211499,-10.0,5.1
346,0.894592744695414,-10.0,4.9
347,0.9000684462696784,-10.0,2.8
348,0.9055441478439425,-10.0,4.8
349,0.9110198494182067,-10.0,4.0
350,0.9164955509924708,-10.0,2.3
351,0.9219712525667352,-10.0,2.1
352,0.9274469541409993,-10.0,4.5
353,0.9329226557152634,-10.0,9.2
354,0.9383983572895278,-10.0,10.7
355,0.9438740588637919,-10.0,11.8
356,0.9493497604380561,-10.0,9.7
357,0.9548254620123204,-10.0,8.9
358,0.9603011635865846,-10.0,9.2
359,0.9657768651608487,-10.0,12.4
360,0.9712525667351128,-10.0,6.5
361,0.9767282683093772,-10.0,10.7
362,0.9822039698836413,-10.0,7.2
363,0.9876796714579055,-10.0,8.0
364,0.9931553730321698,-10.0,8.4
365,0.998631074606434,-10.0,12.8
366,-0.9958932238193019,-9.411764705882353,11.0
367,-0.9904175222450377,-9.411764705882353,8.8
368,-0.9849418206707734,-9.411764705882353,9.0
369,-0.9794661190965093,-9.411764705882353,8.2
370,-0.973990417522245,-9.411764705882353,7.2
371,-0.9685147159479809,-9.411764705882353,7.4
372,-0.9630390143737166,-9.411764705882353,10.7
373,-0.9575633127994524,-9.411764705882353,11.1
374,-0.9520876112251883,-9.411764705882353,7.6
375,-0.946611909650924,-9.411764705882353,6.7
376,-0.9411362080766599,-9.411764705882353,5.8
377,-0.9356605065023956,-9.411764705882353,5.7
378,-0.9301848049281314,-9.411764705882353,3.3
379,-0.9247091033538672,-9.411764705882353,2.9
380,-0.919233401779603,-9.411764705882353,6.7
381,-0.9137577002053388,-9.411764705882353,8.3
382,-0.9082819986310746,-9.411764705882353,8.6
383,-0.9028062970568104,-9.411764705882353,7.4
384,-0.8973305954825462,-9.411764705882353,9.7
385,-0.891854893908282,-9.411764705882353,8.1
386,-0.8863791923340179,-9.411764705882353,4.8
387,-0.8809034907597536,-9.411764705882353,4.2
388,-0.8754277891854894,-9.411764705882353,4.0
389,-0.8699520876112252,-9.411764705882353,4.0
