#=Quote,EventSymbol,EventTime,BidTime,BidExchangeCode,BidPrice,BidSize,AskTime,AskExchangeCode,AskPrice,AskSize
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.13,2,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.13,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,N,195.11,3,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,N,195.11,3,20190807-083500-0500,N,195.19,7
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.12,1,20190807-083500-0500,N,195.19,7
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.12,1,20190807-083500-0500,P,195.19,2
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.12,1,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,N,195.11,3,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,N,195.11,3,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.865-0500,20190807-083500-0500,V,195.12,1,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,N,195.11,3,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,P,195.11,2,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,P,195.1,3,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,N,195.1,4,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,V,195.11,1,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,N,195.1,6,20190807-083500-0500,V,195.19,2
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,N,195.1,6,20190807-083500-0500,Q,195.19,1
Quote,AAPL,20190807-083500.867-0500,20190807-083500-0500,N,195.1,6,20190807-083500-0500,V,195.17,1
Quote,AAPL,20190807-083500.882-0500,20190807-083500-0500,N,195.1,7,20190807-083500-0500,V,195.17,1
Quote,AAPL,20190807-083500.895-0500,20190807-083500-0500,Q,195.12,1,20190807-083500-0500,V,195.17,1
Quote,AAPL,20190807-083500.895-0500,20190807-083500-0500,Q,195.12,2,20190807-083500-0500,V,195.17,1
Quote,AAPL,20190807-083500.895-0500,20190807-083500-0500,Q,195.12,2,20190807-083500-0500,J,195.2,1
Quote,AAPL,20190807-083501.072-0500,20190807-083501-0500,X,195.13,1,20190807-083500-0500,J,195.2,1
Quote,AAPL,20190807-083501.112-0500,20190807-083501-0500,Q,195.12,1,20190807-083500-0500,J,195.2,1
Quote,AAPL,20190807-083501.144-0500,20190807-083501-0500,J,195.16,1,20190807-083501-0500,V,195.2,1
Quote,AAPL,20190807-083501.145-0500,20190807-083501-0500,J,195.16,1,20190807-083501-0500,J,195.2,1
Quote,AAPL,20190807-083501.145-0500,20190807-083501-0500,Y,195.16,1,20190807-083501-0500,P,195.21,3
Quote,AAPL,20190807-083501.145-0500,20190807-083501-0500,Y,195.16,1,20190807-083501-0500,Q,195.21,2
Quote,AAPL,20190807-083501.500-0500,20190807-083501-0500,V,195.16,1,20190807-083501-0500,Q,195.21,2
Quote,AAPL,20190807-083501.500-0500,20190807-083501-0500,V,195.16,1,20190807-083501-0500,N,195.21,4
Quote,AAPL,20190807-083501.500-0500,20190807-083501-0500,V,195.16,1,20190807-083501-0500,P,195.21,7
Quote,AAPL,20190807-083501.501-0500,20190807-083501-0500,V,195.16,1,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.501-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,Y,195.13,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,Z,195.13,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,J,195.13,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,K,195.13,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,7,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.12,2,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,Z,195.12,2,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,Z,195.12,2,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,Z,195.12,2,20190807-083501-0500,N,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,Z,195.12,2,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,Z,195.12,1,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.11,6,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,N,195.11,7,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.12,1,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.12,2,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.12,1,20190807-083501-0500,P,195.16,1
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.12,1,20190807-083501-0500,N,195.16,4
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.11,1,20190807-083501-0500,N,195.16,4
Quote,AAPL,20190807-083501.507-0500,20190807-083501-0500,V,195.11,2,20190807-083501-0500,N,195.16,4
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,V,195.11,2,20190807-083501-0500,P,195.16,5
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,V,195.11,1,20190807-083501-0500,P,195.16,5
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,N,195.1,4,20190807-083501-0500,P,195.16,5
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,P,195.1,3,20190807-083501-0500,P,195.16,5
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,V,195.1,1,20190807-083501-0500,P,195.16,5
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,V,195.1,1,20190807-083501-0500,N,195.16,4
Quote,AAPL,20190807-083501.508-0500,20190807-083501-0500,V,195.1,1,20190807-083501-0500,J,195.16,1
Quote,AAPL,20190807-083501.512-0500,20190807-083501-0500,N,195.1,5,20190807-083501-0500,J,195.16,1
Quote,AAPL,20190807-083501.519-0500,20190807-083501-0500,N,195.1,6,20190807-083501-0500,J,195.16,1
Quote,AAPL,20190807-083501.654-0500,20190807-083501-0500,N,195.1,6,20190807-083501-0500,N,195.17,3
Quote,AAPL,20190807-083501.654-0500,20190807-083501-0500,X,195.11,1,20190807-083501-0500,N,195.17,3
Quote,AAPL,20190807-083501.654-0500,20190807-083501-0500,X,195.11,1,20190807-083501-0500,J,195.16,1
Quote,AAPL,20190807-083501.654-0500,20190807-083501-0500,X,195.11,1,20190807-083501-0500,N,195.17,3
Quote,AAPL,20190807-083501.666-0500,20190807-083501-0500,X,195.11,1,20190807-083501-0500,P,195.18,3
Quote,AAPL,20190807-083501.682-0500,20190807-083501-0500,V,195.11,1,20190807-083501-0500,P,195.18,3
Quote,AAPL,20190807-083501.714-0500,20190807-083501-0500,N,195.1,6,20190807-083501-0500,P,195.18,3
Quote,AAPL,20190807-083502.107-0500,20190807-083501-0500,N,195.1,6,20190807-083502-0500,N,195.18,3
